category,type,difficulty,question,correct_answer,incorrect_answers
Entertainment: Video Games,multiple,medium,How many unique items does &quot;Borderlands 2&quot; claim to have?,87 Bazillion ,"[""87 Million"", ""87 Trillion"", ""87 Gazillion ""]"
History,multiple,medium,Which Las Vegas casino was originally constructed and operated by mobster Bugsy Siegel?,The Flamingo,"[""The MGM Grand"", ""The Sands"", ""The Sahara""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,What ability does Princess Sofia the First have from her amulet that allows her to breathe underwater?,Mermaid Transformation,"[""Artificial Gills"", ""Bubble Head"", ""Bubble Shield""]"
Sports,multiple,medium,"In a game of snooker, what colour ball is worth 3 points?",Green,"[""Yellow"", ""Brown"", ""Blue""]"
Entertainment: Television,multiple,easy,"In the TV show &#039;M*A*S*H&#039;, what was the nickname of Corporal Walter O&#039;Reilly?",Radar,"[""Hawkeye"", ""Hot Lips"", ""Trapper""]"
Entertainment: Video Games,multiple,hard,"Given that all party members are maxed, who is the fastest party member in Super Mario RPG: Legend of The Seven Stars?",Geno,"[""Mario"", ""Bowser"", ""Peach""]"
History,multiple,medium,"Which American civilization is the source of the belief that the world would end or drastically change on December 21st, 2012?",The Mayans,"[""The Incas"", ""The Aztecs"", ""The Navajos""]"
Geography,multiple,easy,The country of Belize borders which country?,Guatemala,"[""Laos"", ""Per&uacute;"", ""Kenya""]"
General Knowledge,multiple,easy,What geometric shape is generally used for stop signs?,Octagon,"[""Hexagon"", ""Circle"", ""Triangle""]"
General Knowledge,multiple,easy,What is the name of the Jewish New Year?,Rosh Hashanah,"[""Elul"", ""New Year"", ""Succoss""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,Who was the villain of &#039;&#039;The Lion King&#039;&#039;?,Scar,"[""Fred"", ""Jafar"", ""Vada""]"
General Knowledge,boolean,medium,Only a small percentage of the world&#039;s population is lactose intolerant.,False,"[""True""]"
Entertainment: Video Games,multiple,hard,Which of the following games in the The Legend of Zelda franchise was released in Japan before North America?,The Legend of Zelda: The Minish Cap,"[""The Legend of Zelda: Twilight Princess"", ""The Legend of Zelda: Spirit Tracks"", ""The Legend of Zelda: Four Swords""]"
Geography,multiple,medium,A lion brandishing a sword is depicted on the national flag of which country?,Sri Lanka,"[""Albania"", ""Zambia"", ""Moldova""]"
Entertainment: Video Games,boolean,easy,Rollercoaster Tycoon 1 and 2 were developed by Chris Sawyer.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,Who are the original creators of Rachet &amp; Clank?,Insomniac Games,"[""PixelTail Games"", ""Rare"", ""Bethesda""]"
Entertainment: Music,multiple,easy,What is the name of the album released in 2014 by American band Maroon 5?,V,"[""X"", ""III"", ""IV""]"
Entertainment: Video Games,multiple,medium,"In the game Tom Clancy&#039;s Rainbow 6 Siege, what organization is Valkyrie from?",Navy Seals,"[""S.A.S"", ""G.I.G.N"", ""F.B.I""]"
Entertainment: Music,multiple,medium,What was David Bowie&#039;s real surname?,Jones,"[""Johnson"", ""Edwards"", ""Carter""]"
General Knowledge,multiple,easy,What was the name of Sqiudward&#039;s bad painting in the Spongebob episode &quot;Artist Unknown?&quot;,Bold and Brash,"[""Squidward en Repose"", ""Rippy Bits"", ""Tilted Perspectives""]"
Entertainment: Video Games,multiple,medium,"In Terraria, which of these items is NOT crafted at a Mythril Anvil?",Ankh Charm,"[""Venom Staff"", ""Sky Fracture"", ""Orichalcum Tools""]"
Animals,multiple,hard,Which species is a &quot;mountain chicken&quot;?,Frog,"[""Chicken"", ""Horse"", ""Fly""]"
Entertainment: Video Games,multiple,easy,"In Final Fantasy XIV, what is the name of the Deep Dungeon that was introduced in the expansion pack, Heavensward?",Palace of the Dead,"[""Heaven on High"", ""Aetherochemical Research Facility"", ""Sunken Temple of Qarn""]"
Entertainment: Video Games,multiple,easy,Which of the following Elite Four members from the 6th Generation of Pok&eacute;mon was a member of Team Flare?,Malva,"[""Siebold"", ""Wikstrom"", ""Drasna""]"
Entertainment: Music,multiple,hard,Which album was released by Kanye West in 2013?,Yeezus,"[""My Beautiful Dark Twisted Fantasy"", ""The Life of Pablo"", ""Watch the Throne""]"
General Knowledge,boolean,easy,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",True,"[""False""]"
Entertainment: Television,boolean,easy,"In the Season 1 SpongeBob Squarepants episode, &quot;Help Wanted,&quot; the song &quot;Living in the Sunlight&quot; by Tiny Tim can be heard.",True,"[""False""]"
History,multiple,easy,Who was the first president of the United States?,George Washington,"[""James Madison"", ""Thomas Jefferson"", ""James K. Polk""]"
Art,multiple,medium,"Which artist painted &ldquo;The Treachery of Images,&rdquo; a painting of a pipe with the description &quot;this is not a pipe&quot;?",Magritte,"[""Matisse"", ""Modigliani"", ""Munch ""]"
History,multiple,easy,Which South American country fought Great Britain over the Falkland Islands in 1982?,Argentina,"[""Brazil"", ""Chile"", ""Venezuela""]"
Entertainment: Film,multiple,medium,What Queen song plays during the final fight scene of the film &quot;Hardcore Henry&quot;?,Don&#039;t Stop Me Now,"[""Brighton Rock"", ""Another Bites the Dust"", ""We Will Rock You""]"
Entertainment: Television,boolean,medium,"Klingons once had a period of Democracy in their history, they referred to it as the &quot;Dark Times&quot;.",True,"[""False""]"
Entertainment: Television,multiple,medium,Who was the winner of the 2016 WWE Royal Rumble?,Triple H,"[""Roman Reigns"", ""AJ Styles"", ""Dean Ambrose""]"
Geography,multiple,easy,What is the capital of the US State of New York?,Albany,"[""Buffalo"", ""New York"", ""Rochester""]"
Entertainment: Video Games,multiple,easy,"In the video game Team Fortress 2, which of these is NOT a primary?",Medigun,"[""Scattergun"", ""Grenade Launcher"", ""Rocket Launcher""]"
Sports,multiple,easy,What was the year of estabilishment of the Bari Italian Football Club?,1908,"[""1945"", ""2014"", ""1895""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In &quot;Toriko&quot;, which of the following foods is knowingly compatible with Toriko?",Poison Potato,"[""Mors Oil"", ""Alpacookie"", ""Parmesansho Fruit""]"
Entertainment: Comics,multiple,easy,Who is Batman?,Bruce Wayne,"[""Clark Kent"", ""Barry Allen"", ""Tony Stark""]"
Celebrities,multiple,medium,In which of these TV shows did the chef Gordon Ramsay not appear?,Auction Hunters,"[""Ramsay&#039;s Kitchen Nightmares"", ""Hotel Hell"", ""Hell&#039;s Kitchen""]"
Mythology,boolean,easy,"In the Greek Mythology, the god of war is called Mars.",False,"[""True""]"
General Knowledge,multiple,medium,"Out of these four buildings, which one is the tallest, with a height of 1,483 ft (451.9 m)?","Petronas Twin Towers, Malaysia","[""Zifeng Tower, China"", ""Trump Intl. Hotel &amp; Tower, United States"", ""Al Hamra Tower, Kuwait""]"
Entertainment: Video Games,multiple,easy,What war is Call Of Duty: Black Ops based on?,Cold War,"[""WW3"", ""Vietnam"", ""WW1""]"
Entertainment: Video Games,multiple,hard,How many partners can you obtain in Paper Mario: The Thousand-Year Door?,7,"[""6"", ""9"", ""10""]"
Animals,multiple,hard,What is the scientific name for the Bald Eagle?,Haliaeetus Leucocephalus ,"[""Tyto Alba"", ""Cyanocitta Cristata"", ""Aquila Chrysaetos""]"
General Knowledge,multiple,easy,What technology is named after a tenth-century ruler of Denmark and Norway?,Bluetooth,"[""Wi-Fi"", ""GPS"", ""Internet""]"
Entertainment: Books,multiple,medium,Who wrote the &quot;A Song of Ice And Fire&quot; fantasy novel series?,George R. R. Martin,"[""George Lucas"", ""George Orwell"", ""George Eliot""]"
Science: Computers,multiple,hard,How many Hz does the video standard PAL support?,50,"[""59"", ""60"", ""25""]"
Entertainment: Video Games,boolean,easy,"Ana was added as a new hero for the game Overwatch on July 19th, 2016.",True,"[""False""]"
Entertainment: Video Games,boolean,easy,"In the Super Mario series, the character Pauline is a Princess like Princess Peach.",False,"[""True""]"
Art,multiple,medium,Which of these are the name of a famous marker brand?,Copic,"[""Dopix"", ""Cofix"", ""Marx""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In JoJo&#039;s Bizarre Adventure, who says &quot;Yare yare daze&quot;?",Jotaro Kujo,"[""Joseph Joestar"", ""Jolyne Cujoh"", ""Koichi Hirose""]"
History,multiple,hard,Where was Napoleon Bonaparte born?,Corsica,"[""Normandy"", ""Brittany"", ""Paris""]"
Science: Gadgets,multiple,medium,Which company manufactured the iconic TR-808 drum machine?,Roland,"[""Technics"", ""Korg"", ""Casio""]"
History,boolean,easy,The United States Department of Homeland Security was formed in response to the September 11th attacks.,True,"[""False""]"
Animals,multiple,hard,What is the Gray Wolf&#039;s scientific name?,Canis Lupus,"[""Canis Aureus"", ""Canis Latrans"", ""Canis Lupus Lycaon""]"
Entertainment: Film,multiple,medium,Who played Baron Victor Frankestein in the 1957 Hammer horror film &quot;The Curse of Frankenstein&quot;?,Peter Cushing,"[""Boris Karloff"", ""Vincent Price"", ""Lon Chaney Jr.""]"
Entertainment: Television,multiple,easy,In the show &quot;Tengen Toppa Gurren Lagann&quot; what is the name of the character who force everyone to live underground?,Lordgenome,"[""Kingloname"", ""Lord Genome"", ""King Loname""]"
Science &amp; Nature,multiple,hard,What is isobutylphenylpropanoic acid more commonly known as?,Ibuprofen,"[""Morphine"", ""Ketamine"", ""Aspirin""]"
Entertainment: Music,multiple,medium,Which rapper had an album that went double platinum with no features?,J. Cole,"[""Kendrick Lamar"", ""Drake"", ""Big Sean""]"
Entertainment: Television,multiple,easy,What TV show is about a grandfather dragging his grandson around on adventures?,Rick &amp; Morty,"[""Family Guy"", ""South Park"", ""American Dad""]"
Vehicles,boolean,medium,The first true automobile ever made was the 1886 Benz Patent-Motorwagen.,True,"[""False""]"
Science &amp; Nature,multiple,hard,What is the same in Celsius and Fahrenheit?,-40,"[""32"", ""-39"", ""-42""]"
History,multiple,easy,"Who was among those killed in the 2010 Smolensk, Russia plane crash tragedy?",The Polish President,"[""Pope John Paul II"", ""Bang-Ding Ow"", ""Albert Putin""]"
Entertainment: Music,multiple,medium,Who is the primary lyricist for Canadian progressive rock band Rush?,Neil Peart,"[""Geddy Lee"", ""Alex Lifeson"", ""John Rutsey""]"
Entertainment: Video Games,multiple,hard,"In Left 4 Dead, what is the character Bill&#039;s last name?",Overbeck,"[""Fish"", ""Roberts"", ""Stevenson""]"
Science: Computers,multiple,medium,What is the number of keys on a standard Windows Keyboard?,104,"[""64"", ""94"", ""76""]"
Entertainment: Video Games,multiple,medium,What was the code name for the &quot;Nintendo Gamecube&quot;?,Dolphin,"[""Nitro"", ""Revolution"", ""Atlantis""]"
Geography,multiple,easy,How many countries does Mexico border?,3,"[""2"", ""4"", ""1""]"
Entertainment: Film,multiple,medium,"In the 2010 Nightmare on Elm Street reboot, who played Freddy Kruger?",Jackie Earle Haley,"[""Tyler Mane"", ""Derek Mears"", ""Gunnar Hansen""]"
Entertainment: Music,multiple,medium,Which of these women is not a member of the Korean girl group TWICE?,Kang Seulgi,"[""Myoui Mina"", ""Kim Dahyun"", ""Hirai Momo""]"
Entertainment: Music,multiple,easy,Which of these songs by Skrillex features Fatman Scoop as a side artist?,Recess,"[""All is Fair in Love and Brostep"", ""Rock N Roll (Will Take You to the Mountain)"", ""Scary Monsters and Nice Sprites""]"
Entertainment: Video Games,multiple,medium,Which of the following Terran units from the RTS game Starcraft was first introduced in the expansion Brood War?,Medic,"[""Wraith"", ""Science Vessel"", ""SCV""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,"In the show &quot;Foster&#039;s Home For Imaginary Friends&quot;, which character had an obsession with basketball?",Wilt,"[""Coco"", ""Mac"", ""Cheese""]"
History,multiple,hard,What did the first vending machines in the early 1880&#039;s dispense?,Post cards,"[""Alcohol"", ""Cigarettes"", ""Sodas ""]"
History,multiple,medium,What was the name of the planned invasion of Japan towards the end of World War II?,Operation Downfall,"[""Operation Boarding Party"", ""Operation Ironclad"", ""Operation Aflame""]"
Entertainment: Video Games,boolean,easy,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,True,"[""False""]"
Entertainment: Books,multiple,hard,"In the Beatrix Potter books, what type of animal is Tommy Brock?",Badger,"[""Fox"", ""Frog"", ""Rabbit""]"
Mythology,multiple,easy,The Nike apparel and footwear brand takes it&#039;s name from the Greek goddess of what?,Victory,"[""Courage"", ""Strength"", ""Honor""]"
Science &amp; Nature,multiple,easy,Which type of rock is created by intense heat AND pressure?,Metamorphic,"[""Sedimentary"", ""Igneous"", ""Diamond""]"
Science &amp; Nature,multiple,medium,A positron is an antiparticle of a what?,Electron,"[""Neutron"", ""Proton"", ""Photon""]"
Science &amp; Nature,boolean,medium,The most frequent subconscious activity repeated by the human body is blinking.,False,"[""True""]"
Entertainment: Television,multiple,easy,"In the television show Breaking Bad, what is the street name of Walter and Jesse&#039;s notorious product?",Blue Sky,"[""Baby Blue"", ""Rock Candy"", ""Pure Glass""]"
Science &amp; Nature,multiple,medium,What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?,Dunning-Kruger effect,"[""Meyers-Briggs effect"", ""M&uuml;ller-Lyer effect"", ""Freud-Hall effect""]"
Entertainment: Television,multiple,medium,The 1985 Toyota Corolla &quot;AE86&quot; was the hero car for what anime? ,Initial D,"[""Wangan Midnight"", ""Ghost MF"", ""Ex Driver""]"
Entertainment: Music,multiple,hard,What was the last Aphex Twin album released before his decade-long hiatus?,Drukqs,"[""Windowlicker"", ""Syro"", ""Collected Ambient Works 85-92""]"
Sports,boolean,medium,"During Wimbledon, spectators in the grounds can buy the tennis balls that have been used in matches.",True,"[""False""]"
Science &amp; Nature,boolean,medium,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,True,"[""False""]"
History,boolean,easy,Vikings were the first Europeans to discover North America.,True,"[""False""]"
Entertainment: Music,multiple,easy,"&quot;Doctor Jones&quot;, &quot;Turn Back Time&quot; and &quot;Barbie Girl&quot; were UK number ones for which Eurodance group?",Aqua,"[""Vengaboys"", ""Eiffel 65"", ""Sash!""]"
Science: Mathematics,multiple,easy,Who proved Fermat&#039;s Last Theorem?,Andrew Wiles,"[""Leonhard Euler"", ""Carl Friedrich Gauss"", ""Srinivasa Ramanujan""]"
Entertainment: Musicals &amp; Theatres,multiple,hard,"Which Shakespeare play features the stage direction &quot;Enter a messenger, with two heads and a hand&quot;?",Titus Andronicus,"[""Othello"", ""Macbeth"", ""King Lear""]"
